id,stage,spoke,act,text,source
94,integration,11,return,I let my body lead when my mind spirals.,core
95,integration,11,return,"I treat emotions as signals, not commands.",core
96,integration,11,return,I hold boundaries without hostility.,core
97,integration,11,return,I choose presence over tactics.,core
98,integration,11,return,I trust myself more because I keep promises to myself.,core
99,integration,11,return,I can be intense without being compulsive.,core
100,integration,11,return,I become congruent: my values and actions match.,core
101,elixir,12,return,I return with something useful for others.,core
102,elixir,12,return,I turn my story into a tool someone else can use.,core
103,elixir,12,return,I explain the path without pretending it's easy.,core
104,elixir,12,return,"I teach what I practiced, not what I fantasized.",core
105,elixir,12,return,"I build artifacts—code, notes, systems—that outlast moods.",core
106,elixir,12,return,I model grounded confidence instead of selling hype.,core
107,elixir,12,return,I help others cross their threshold with clarity.,core
108,elixir,12,return,I contribute work that proves my competence.,core
109,elixir,12,return,I share the map while honoring each person's journey.,core
110,elixir,12,return,I leave something behind that makes the world slightly better.,core
111,refusal,3,departure,"I sense the world is staged, but I can’t yet name what’s wrong.",matrix
112,call,2,departure,"A stranger offers a choice: comfort in the story, or truth with consequences.",matrix
113,threshold,5,departure,I choose the red pill: I’d rather know than cope.,matrix
114,threshold,5,departure,The old reality breaks; I realize I was living inside an operating system.,matrix
115,tests,6,initiation,I accept that freedom feels like fear at first.,matrix
116,tests,6,initiation,I train daily: repetition turns chaos into skill.,matrix
117,tests,6,initiation,I meet resistance that wants me asleep; I stop negotiating with it.,matrix
118,tests,6,initiation,"I learn to read the code: patterns, incentives, and hidden rules.",matrix
119,approach,7,initiation,I stop asking ‘am I ready?’ and start asking ‘what’s the next move?’,matrix
120,integration,11,return,I become the kind of person who can hold truth without collapsing.,matrix
121,refusal,3,departure,I feel numb in a life that looks fine on paper.,fight_club
122,refusal,3,departure,I notice I’m buying an identity instead of building one.,fight_club
123,call,2,departure,I meet a shadow-teacher: the part of me that refuses to be domesticated.,fight_club
124,threshold,5,departure,I choose pain over numbness; sensation becomes a doorway back to myself.,fight_club
125,tests,6,initiation,I learn the difference between performance and presence.,fight_club
126,tests,6,initiation,"I stop outsourcing my meaning to approval, status, or romance.",fight_club
127,ordeal,8,initiation,I face the split inside: the actor vs the one who actually wants.,fight_club
128,integration,11,return,I take responsibility for my shadow instead of letting it run the show.,fight_club
129,approach,7,initiation,"I build discipline: small acts of integrity, repeated, become identity.",fight_club
130,return,10,return,I choose creation over destruction: rebuild the self without burning the world.,fight_club
131,refusal,3,departure,"I inherit a story about who I am, and it doesn’t fit anymore.",kingdom_of_heaven
132,call,2,departure,A mentor calls me to a higher standard: ‘be better than your past.’,kingdom_of_heaven
133,threshold,5,departure,I leave the familiar to pursue a harder kind of honor.,kingdom_of_heaven
134,allies,6,initiation,"I learn leadership is service, not dominance.",kingdom_of_heaven
135,ordeal,8,initiation,I hold the line when fear says run.,kingdom_of_heaven
136,integration,11,return,"I choose mercy over ego, even when it costs me.",kingdom_of_heaven
137,reward,9,initiation,I protect people who can’t protect themselves; my values become real.,kingdom_of_heaven
138,tests,6,initiation,I negotiate with power without selling my soul.,kingdom_of_heaven
139,ordeal,8,initiation,I accept loss without losing my integrity.,kingdom_of_heaven
140,return,10,return,"I return changed: not a legend, but a man who keeps his vow.",kingdom_of_heaven
141,refusal,3,departure,"I sense the set is too perfect, but I keep smiling for the cameras.",truman
142,call,2,departure,A crack appears in the world; I can’t unsee that my life might be staged.,truman
143,threshold,5,departure,I test the boundaries of the script and choose truth over comfort.,truman
144,tests,6,initiation,The system pushes back; I learn that freedom requires sustained courage.,truman
145,approach,7,initiation,I stop asking for permission and start planning my exit with calm precision.,truman
146,ordeal,8,initiation,I face the fear designed to keep me small and walk through it anyway.,truman
147,return,10,return,"I step into the unknown: no applause, just a real life I choose.",truman
148,refusal,3,departure,"I tell myself it’s just a dream, because doubt is safer than responsibility.",inception
149,call,2,departure,A mission appears: plant an idea that could change everything.,inception
150,threshold,5,departure,"I accept the deeper layer: to build reality, I must face my own mind.",inception
151,tests,6,initiation,I run drills in layers of pressure; skill replaces panic.,inception
152,allies,6,initiation,I assemble a team where each strength covers another’s weakness.,inception
153,approach,7,initiation,I design the plan down to the timing: structure becomes sanity.,inception
154,ordeal,8,initiation,I confront the memory that sabotages me and refuse to let it steer.,inception
155,integration,11,return,"I choose a grounded inner compass: I can’t control reality, but I can choose integrity.",inception
156,return,10,return,"I come back changed: less attached to certainty, more committed to what I build.",inception
157,refusal,3,departure,"I play along with the story I’m sold, even when it smells like rot.",la_confidential
158,call,2,departure,I see the corruption behind the badge; the truth demands a price.,la_confidential
159,threshold,5,departure,I stop performing loyalty and start investigating what power hides.,la_confidential
160,tests,6,initiation,Every clue creates enemies; I learn to move quietly and verify everything.,la_confidential
161,allies,6,initiation,I find unlikely partners: integrity can be shared even among rivals.,la_confidential
162,ordeal,8,initiation,"I face the cost of truth: reputation, safety, and the comfort of lies.",la_confidential
163,reward,9,initiation,The pattern snaps into focus; I can finally name what’s really happening.,la_confidential
164,return,10,return,I choose justice over image and walk forward with my conscience intact.,la_confidential
165,refusal,3,departure,I cling to ordinary rules because wonder feels like losing control.,alice
166,call,2,departure,I follow the impossible: curiosity becomes the doorway.,alice
167,threshold,5,departure,I fall into the unknown and let the old map dissolve.,alice
168,tests,6,initiation,Nothing behaves ‘properly’; I learn to adapt instead of argue.,alice
169,allies,6,initiation,I meet strange guides and realize wisdom can look eccentric.,alice
170,ordeal,8,initiation,I face the part of me that doubts my right to take up space.,alice
171,integration,11,return,"I remember who I am: not the role, but the chooser.",alice
172,return,10,return,I carry wonder back to the real world and act with more courage.,alice
173,refusal,3,departure,I stay in sepia comfort because color feels too big for me.,oz
174,call,2,departure,A storm lifts me: life interrupts my plan and offers an adventure.,oz
175,threshold,5,departure,I arrive in a strange land and realize I must walk the road myself.,oz
176,allies,6,initiation,I gather companions; each of us wants what we think we lack.,oz
177,tests,6,initiation,We face tricks and threats that test whether we’ll quit or keep moving.,oz
178,ordeal,8,initiation,"The illusion shatters: the ‘wizard’ is just a man, and I must own my power.",oz
179,integration,11,return,"I learn the gift was always within: heart, courage, mind, and home.",oz
180,return,10,return,I go back with a new lens: I can choose my life without needing a savior.,oz
181,allies,6,initiation,"The Hospitalier speaks calm courage into me: ‘When you stand before God, you cannot say you weren’t shown mercy.’",kingdom_of_heaven
182,tests,6,initiation,I watch the Hospitalier hold steady under chaos; I learn composure is a weapon.,kingdom_of_heaven
183,approach,7,initiation,"The Hospitalier reminds me: build the defense, not the legend—do the work that saves lives.",kingdom_of_heaven
184,ordeal,8,initiation,"In the darkest hour, the Hospitalier refuses despair; I borrow his steadiness to keep fighting.",kingdom_of_heaven
185,integration,11,return,"‘If God does not love you, how could you have done all these things that you have done?’—I let that land as permission to forgive myself.",kingdom_of_heaven
186,reward,9,initiation,"I feel a clean dignity: my actions were real, and that matters more than my doubts.",kingdom_of_heaven
187,return,10,return,"I carry the Hospitalier’s standard back with me: honor isn’t an emotion, it’s a practice.",kingdom_of_heaven
188,elixir,12,return,I pass on the lesson: mercy and discipline can coexist; you can be fierce without being cruel.,kingdom_of_heaven
189,refusal,3,departure,I tell myself the darkness is ‘just stories’—but I feel it watching from the edges.,WAKE
190,call,2,departure,"A message arrives from the deep: write, or be written by the nightmare.",WAKE
191,threshold,5,departure,I step into the overlap—reality bends and I accept that the rules have changed.,WAKE
192,tests,6,initiation,"I learn to survive the loop: light, timing, and focus become my daily training.",WAKE
193,tests,6,initiation,The story fights back; every attempt teaches me what the darkness exploits.,WAKE
194,allies,6,initiation,I link up with others trapped in the same myth; we trade clues instead of coping alone.,WAKE
195,approach,7,initiation,"I map the pattern: scenes, triggers, objectives—structure gives me a way through.",WAKE
196,ordeal,8,initiation,I face the part of me that uses art as avoidance; I choose responsibility over romance with chaos.,WAKE
197,ordeal,8,initiation,I confront the shadow that wears my face; I stop bargaining and name it.,WAKE
198,reward,9,initiation,A breakthrough: the narrative snaps—what felt random becomes readable.,WAKE
199,return,10,return,"I bring the clarity back to daylight: I can’t control every frame, but I can choose the next line.",WAKE
200,integration,11,return,I hold fear without letting it steer; presence becomes brighter than panic.,WAKE
201,elixir,12,return,"I turn the ordeal into a tool: writing as disciplined practice, not escapism.",WAKE
202,tests,6,initiation,I stop chasing the perfect ending and start making clean moves under pressure.,WAKE
203,approach,7,initiation,I treat the work like a ritual: small consistent actions that keep the darkness from taking ground.,WAKE
204,integration,11,return,"I become the author again—no longer possessed by the plot, but participating consciously.",WAKE
205,refusal,3,departure,I tell myself Gotham isn’t my problem anymore; hiding feels safer than choosing the cowl.,Batman
206,call,2,departure,The city shows me the cost of my comfort—someone has to stand up.,Batman
207,threshold,5,departure,I cross into the underworld of training; fear becomes a teacher instead of a jailer.,Batman
208,tests,6,initiation,"I learn the discipline behind the symbol: repetition, restraint, and control.",Batman
209,allies,6,initiation,I accept guidance from mentors and allies; I stop pretending I can do it alone.,Batman
210,approach,7,initiation,"I build the tools and the code: the mission needs structure, not ego.",Batman
211,ordeal,8,initiation,"I face the chaos that can’t be reasoned with; the Joker tests my integrity, not my strength.",Batman
212,ordeal,8,initiation,I take the fall so the symbol survives; I choose responsibility over reputation.,Batman
213,reward,9,initiation,A hard-won truth: being good isn’t being liked—it’s doing what’s necessary.,Batman
214,return,10,return,I come back from exile and pain; I move again even when the body protests.,Batman
215,integration,11,return,I hold the paradox: a symbol can be both mercy and threat—used with intention.,Batman
216,elixir,12,return,I pass on the lesson: build systems that outlive you; courage is contagious.,Batman
217,refusal,3,departure,I cling to comfort and status; I don’t want the world to change me.,samurai
218,call,2,departure,A new land calls me into a conflict I don’t understand; I’m needed where I’m weakest.,samurai
219,threshold,5,departure,I enter the samurai world; my old identity starts to crack.,samurai
220,tests,6,initiation,"Training strips me down: posture, breath, repetition—no shortcuts.",samurai
221,allies,6,initiation,I find respect in those I feared; discipline becomes a bridge.,samurai
222,approach,7,initiation,I stop performing and start learning; humility becomes my weapon.,samurai
223,ordeal,8,initiation,"In battle and loss, I face what my life has been built on; the old story dies.",samurai
224,reward,9,initiation,A quiet honor arrives: I can stand in my own skin without applause.,samurai
225,return,10,return,"I return carrying a new standard: presence, duty, and restraint.",samurai
226,integration,11,return,‘No mind’ becomes real: I act cleanly without the chatter taking the wheel.,samurai
227,elixir,12,return,I pass on what I learned: mastery is inner stillness under pressure.,samurai
228,refusal,3,departure,I want the crown without the cross; I resist surrender and try to control outcomes.,christ
229,call,2,departure,"I’m called into the desert of truth: serve, not be served.",christ
230,threshold,5,departure,I step into ministry; the path becomes public and costly.,christ
231,tests,6,initiation,"Temptations come as shortcuts: power, spectacle, certainty—each one refused.",christ
232,allies,6,initiation,"I gather imperfect disciples; love becomes practiced, not theoretical.",christ
233,approach,7,initiation,I walk toward Jerusalem knowing the cost; courage is obedience.,christ
234,ordeal,8,initiation,The crucifixion: everything is stripped away; I endure without abandoning love.,christ
235,reward,9,initiation,Resurrection: life returns with meaning; despair is not the final word.,christ
236,return,10,return,"I return to my people with peace, not vengeance; wounds become testimony.",christ
237,integration,11,return,I embody mercy and truth together; strength becomes gentleness.,christ
238,elixir,12,return,The commission: carry the message outward—hope made practical.,christ
239,refusal,3,departure,I want to stay a kid forever; responsibility feels like a trap.,DBZ
240,call,2,departure,A new threat arrives; my limits are exposed and the work begins.,DBZ
241,threshold,5,departure,I commit to training; the body becomes the dojo and discipline becomes daily.,DBZ
242,tests,6,initiation,"Every arc is a trial: gravity, technique, timing—failure is data.",DBZ
243,allies,6,initiation,I train with rivals and friends; competition becomes collaboration.,DBZ
244,approach,7,initiation,"I prepare for the big fight: strategy, recovery, and focus—not just hype.",DBZ
245,ordeal,8,initiation,I meet an enemy that forces transformation; the old self can’t win.,DBZ
246,reward,9,initiation,Power unlocks through sacrifice and love; strength becomes purposeful.,DBZ
247,return,10,return,I return to ordinary life with new capacity; calm becomes a flex.,DBZ
248,integration,11,return,I accept that growth is endless; identity is built by reps.,DBZ
249,elixir,12,return,I teach the next generation: train your spirit as much as your power.,DBZ
250,refusal,3,departure,I rage against limits; I want heaven’s status without heaven’s wisdom.,journey_west
251,call,2,departure,A mission appears: protect the pilgrimage—turn chaos into service.,journey_west
252,threshold,5,departure,I’m bound to the path; freedom now means commitment.,journey_west
253,tests,6,initiation,"Demons, illusions, and ego traps: each one exposes my impatience.",journey_west
254,allies,6,initiation,A strange crew forms; difference becomes strength when we stay aligned.,journey_west
255,approach,7,initiation,I learn restraint: power without discipline becomes disaster.,journey_west
256,ordeal,8,initiation,I face the part of me that wants worship; I choose the work over attention.,journey_west
257,reward,9,initiation,A clearer mind emerges: humor and humility replace arrogance.,journey_west
258,return,10,return,"I bring the lesson back: enlightenment is practice, not a trophy.",journey_west
259,integration,11,return,I hold both mischief and compassion; the trickster becomes a guardian.,journey_west
260,elixir,12,return,I pass on the teaching: the wild mind can be trained to serve truth.,journey_west
